"seminar_id","university","discipline","department","condition","total_speakers","speakers_with_demographics","num_urm","num_black","num_hispanic","num_native_american","num_female","num_male","num_white","num_asian","pct_urm","pct_black","pct_hispanic","pct_native_american","pct_female","pct_male","pct_white","pct_asian","has_any_urm","has_any_black","has_any_hispanic","has_any_native_american","has_any_female","num_junior_speakers","num_senior_speakers","num_black_junior","num_black_senior","num_hispanic_junior","num_hispanic_senior","num_urm_junior","num_urm_senior","pct_black_junior","pct_black_senior","pct_hispanic_junior","pct_hispanic_senior","pct_urm_junior","pct_urm_senior","has_any_black_junior","has_any_black_senior","has_any_hispanic_junior","has_any_hispanic_senior","has_any_urm_junior","has_any_urm_senior","has_fall_speakers","has_spring_speakers","fall_total_speakers","fall_speakers_with_demographics","fall_num_urm","fall_num_black","fall_num_hispanic","fall_num_female","fall_pct_urm","fall_pct_black","fall_pct_hispanic","fall_pct_female","spring_total_speakers","spring_speakers_with_demographics","spring_num_urm","spring_num_black","spring_num_hispanic","spring_num_female","spring_pct_urm","spring_pct_black","spring_pct_hispanic","spring_pct_female","num_speakers_with_phd_year","pct_speakers_with_phd_year","mean_years_from_phd","median_years_from_phd","min_years_from_phd","max_years_from_phd","num_current_students","pct_current_students","treatment","department_std","bin_category","batch_number","total_faculty","urm_faculty","women_faculty","frac_urm_faculty","frac_women_faculty","dept_ranking","general_ranking","missing_dept_rank","num_recipients","total_peer_departments","total_urm_peer_faculty","pct_female_recipients","pct_urm_recipients","pct_black_recipients","pct_hispanic_recipients","pct_assistant_prof_recipients","num_email_recipients_analyzed","num_distinct_seminars","bin_7_11","bin_1_3","bin_17_26","bin_3_5","bin_5_7","bin_0_1","batch_1","batch_2","batch_3","batch_4","batch_5","batch_6","batch_7","batch_8","batch_9","disc_mathematics","disc_physics","disc_computer_science","disc_mechanical_engineering","bin_11_17","num_non_urm","fall_num_non_urm","spring_num_non_urm","num_non_black","num_non_hispanic","num_non_female","fall_num_non_black","fall_num_non_hispanic","fall_num_non_female","spring_num_non_black","spring_num_non_hispanic","spring_num_non_female","pct_non_urm","fall_pct_non_urm","spring_pct_non_urm","has_any_non_urm","fall_has_any_urm","spring_has_any_urm","fall_has_any_non_urm","spring_has_any_non_urm","fall_has_any_black","spring_has_any_black","fall_has_any_hispanic","spring_has_any_hispanic","fall_has_any_female","spring_has_any_female","pct_speakers","has_speakers","pct_urm_female","approx_num_urm_female","has_any_urm_female","pct_black_female","approx_num_black_female","has_any_black_female","pct_black_male","approx_num_black_male","has_any_black_male","pct_hispanic_female","approx_num_hispanic_female","has_any_hispanic_female","pct_hispanic_male","approx_num_hispanic_male","has_any_hispanic_male"
"dd72b4-c616d7-d9","Princeton University","Mathematics","Princeton University-Mathematics","control",15,15,1,0,1,0,2,13,9,5,6.66666666666667,0,6.66666666666667,0,13.3333333333333,86.6666666666667,60,33.3333333333333,1,0,1,0,1,10,5,0,0,1,0,1,0,0,0,10,0,10,0,0,0,1,0,1,0,1,1,9,9,1,0,1,1,11.1111111111111,0,11.1111111111111,11.1111111111111,6,6,0,0,0,1,0,0,0,16.6666666666667,15,100,10.4615384615385,5,2,35,2,13.3333333333333,0,"Princeton University-Mathematics","(17,26]",1,12,0,2,0,0.166666666666667,2,1,0,2,40,35,0,0,0,0,0,48,20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,14,8,6,15,14,13,9,8,8,6,6,5,93.3333333333333,88.8888888888889,100,1,1,0,1,1,0,0,1,0,1,1,100,1,0.888888888888889,0,0,0,0,0,0,0,0,0.888888888888889,0,0,5.77777777777778,1,1
"dd7434-f5068a-05","University of Pennsylvania","Mathematics","University of Pennsylvania-Mathematics","control",2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,100,50,50,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,100,20,20,9,31,0,0,0,"University of Pennsylvania-Mathematics","(7,11]",1,27,2,5,0.0740740740740741,0.185185185185185,18,6,0,3,40,35,0.6667,0.3333,0.3333,0,0,3,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,2,2,2,1,1,1,1,1,1,100,100,100,1,0,0,1,1,0,0,0,0,0,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ddab79-175ccf-2c","Purdue University","Computer Science","Purdue University-Computer Science","treatment",13,13,1,1,0,0,2,11,3,9,7.69230769230769,7.69230769230769,0,0,15.3846153846154,84.6153846153846,23.0769230769231,69.2307692307692,1,1,0,0,1,2,8,0,1,0,0,0,1,0,12.5,0,0,0,12.5,0,1,0,0,0,1,1,1,8,8,0,0,0,1,0,0,0,12.5,5,5,1,1,0,1,20,20,0,20,11,84.6153846153846,11.25,4.5,1,35,7,63.6363636363636,1,"Purdue University-Computer Science","(3,5]",4,78,1,13,0.0128205128205128,0.166666666666667,19,45,0,2,40,34,0,0,0,0,0,48,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,12,8,4,12,13,11,8,8,7,4,5,4,92.3076923076923,100,80,1,0,1,1,1,0,1,0,0,1,1,100,1,1.18343195266272,0,0,1.18343195266272,0,0,6.50887573964497,1,1,0,0,0,0,0,0
"ddf207-3e049e-2a","University of Missouri","Physics","University of Missouri-Physics","treatment",17,17,2,0,2,0,1,16,5,10,11.7647058823529,0,11.7647058823529,0,5.88235294117647,94.1176470588235,29.4117647058824,58.8235294117647,1,0,1,0,1,7,7,0,0,2,0,2,0,0,0,28.5714285714286,0,28.5714285714286,0,0,0,1,0,1,0,1,1,7,7,0,0,0,0,0,0,0,0,10,10,2,0,2,1,20,0,20,10,14,82.3529411764706,21.2142857142857,18.5,8,38,0,0,1,"University of Missouri-Physics","(1,3]",8,24,0,3,0,0.125,106,98,0,2,40,17,0,0,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,15,7,8,17,15,16,7,7,7,10,8,9,88.2352941176471,100,80,1,0,1,1,1,0,0,0,1,0,1,100,1,0.692041522491349,0,0,0,0,0,0,0,0,0.692041522491349,0,0,11.0726643598616,2,1
"de3940-ebf8ce-8d","University of Montana","Chemistry","University of Montana-Chemistry","treatment",22,22,1,0,0,1,10,12,19,2,4.54545454545455,0,0,4.54545454545455,45.4545454545455,54.5454545454545,86.3636363636364,9.09090909090909,1,0,0,1,1,6,5,0,0,0,0,1,0,0,0,0,0,16.6666666666667,0,0,0,0,0,1,0,1,1,9,9,0,0,0,3,0,0,0,33.3333333333333,13,13,1,0,0,7,7.69230769230769,0,0,53.8461538461538,11,50,21.3636363636364,16,10,44,0,0,1,"University of Montana-Chemistry","(1,3]",4,13,0,2,0,0.153846153846154,133,146,0,2,40,24,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21,9,12,22,22,12,9,9,6,13,13,6,95.4545454545455,100,92.3076923076923,1,0,1,1,1,0,0,0,0,1,1,100,1,2.06611570247934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"de5b85-b316ce-6b","University of California, Irvine","Mechanical Engineering","University of California, Irvine-Mechanical Engineering","control",20,20,1,0,1,0,2,18,15,4,5,0,5,0,10,90,75,20,1,0,1,0,1,6,13,0,0,1,0,1,0,0,0,16.6666666666667,0,16.6666666666667,0,0,0,1,0,1,0,1,1,10,10,0,0,0,2,0,0,0,20,10,10,1,0,1,0,10,0,10,0,19,95,23.3684210526316,23,2,47,0,0,0,"University of California, Irvine-Mechanical Engineering","[0,1]",9,39,0,11,0,0.282051282051282,45,34,0,2,40,37,0,0.5,0,0.5,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,19,10,9,20,19,18,10,10,8,10,9,10,95,100,90,1,0,1,1,1,0,0,0,1,1,0,100,1,0.5,0,0,0,0,0,0,0,0,0.5,0,0,4.5,1,1
"de7ff9-a46eed-07","University of Wisconsin-Madison","Mathematics","University of Wisconsin-Madison-Mathematics","control",20,20,1,1,0,0,1,19,15,4,5,5,0,0,5,95,75,20,1,1,0,0,1,7,13,1,0,0,0,1,0,14.2857142857143,0,0,0,14.2857142857143,0,1,0,0,0,1,0,1,1,6,6,0,0,0,0,0,0,0,0,14,14,1,1,0,1,7.14285714285714,7.14285714285714,0,7.14285714285714,20,100,22.8,21,3,50,0,0,0,"University of Wisconsin-Madison-Mathematics","(11,17]",7,58,4,11,0.0689655172413793,0.189655172413793,19,38,0,15,40,33,0,0,0,0,0,23,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,19,6,13,19,20,19,6,6,6,13,14,13,95,100,92.8571428571429,1,0,1,1,1,0,1,0,0,0,1,100,1,0.25,0,0,0.25,0,0,4.75,1,1,0,0,0,0,0,0
"dec363-0aa6bf-f0","University of Illinois Urbana-Champaign","Physics","University of Illinois Urbana-Champaign-Physics","treatment",21,21,1,1,0,0,3,18,15,5,4.76190476190476,4.76190476190476,0,0,14.2857142857143,85.7142857142857,71.4285714285714,23.8095238095238,1,1,0,0,1,7,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,11,0,0,0,0,0,0,0,0,10,10,1,1,0,3,10,10,0,30,19,90.4761904761905,28.5263157894737,28,5,65,0,0,1,"University of Illinois Urbana-Champaign-Physics","(7,11]",9,64,6,16,0.09375,0.25,11,37,0,2,40,49,0,0,0,0,0,48,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,20,11,9,20,21,18,11,11,11,9,10,7,95.2380952380952,100,90,1,0,1,1,1,0,1,0,0,0,1,100,1,0.680272108843537,0,0,0.680272108843537,0,0,4.08163265306122,1,1,0,0,0,0,0,0
"ded33b-d2e50a-a6","Purdue University","Computer Science","Purdue University-Computer Science","treatment",31,31,0,0,0,0,1,30,16,15,0,0,0,0,3.2258064516129,96.7741935483871,51.6129032258064,48.3870967741936,0,0,0,0,1,26,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,20,20,0,0,0,1,0,0,0,5,11,11,0,0,0,0,0,0,0,0,31,100,8,6,1,43,1,3.2258064516129,1,"Purdue University-Computer Science","(3,5]",4,78,1,13,0.0128205128205128,0.166666666666667,19,45,0,2,40,34,0,0,0,0,0,48,3,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,31,20,11,31,31,30,20,20,19,11,11,11,100,100,100,1,0,0,1,1,0,0,0,0,1,0,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dedd0a-716edb-1b","Temple University","Mathematics","Temple University-Mathematics","control",13,13,0,0,0,0,7,6,7,6,0,0,0,0,53.8461538461538,46.1538461538462,53.8461538461538,46.1538461538462,0,0,0,0,1,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,0,0,0,5,0,0,0,55.5555555555556,4,4,0,0,0,2,0,0,0,50,11,84.6153846153846,9.33333333333333,7,1,18,2,18.1818181818182,0,"Temple University-Mathematics","(5,7]",5,20,1,4,0.05,0.2,83,78,0,7,40,27,0.125,0.125,0.125,0,0,8,7,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,13,9,4,13,13,6,9,9,4,4,4,2,100,100,100,1,0,0,1,1,0,0,0,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"def1f6-769030-df","George Washington University","Chemistry","George Washington University-Chemistry","treatment",16,16,3,1,2,0,7,9,11,2,18.75,6.25,12.5,0,43.75,56.25,68.75,12.5,1,1,1,0,1,3,10,0,1,0,2,0,3,0,10,0,20,0,30,0,1,0,1,0,1,1,1,3,3,1,0,1,1,33.3333333333333,0,33.3333333333333,33.3333333333333,13,13,2,1,1,6,15.3846153846154,7.69230769230769,7.69230769230769,46.1538461538462,13,81.25,19.375,20.5,2,42,5,38.4615384615385,1,"George Washington University-Chemistry","[0,1]",4,14,2,4,0.142857142857143,0.285714285714286,102,62,0,2,40,34,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,2,11,15,14,9,3,2,2,12,12,7,81.25,66.6666666666667,84.6153846153846,1,1,1,1,1,0,1,1,1,1,1,100,1,8.203125,1,1,2.734375,0,0,3.515625,1,1,5.46875,1,1,7.03125,1,1
