seminar_id,university,discipline,seminar_name,treatment,clicked,num_click_sources
2cedc1-2c1383-0c,Northeastern University,Mathematics,Analysis - Geometry Seminar,1,1,1
2d0854-b8adde-6d,University of Virginia,Mathematics,Harmonic Analysis and PDE Seminar,0,1,1
2d143c-e76d21-cd,University of Nebraska-Lincoln,Mathematics,Colloquia,0,1,1
2d244e-252307-08,Texas A&M University,Mathematics,Working Seminar on Banach and Metric Spaces,1,1,1
2d6e0b-a2b1df-c6,Purdue University,Mathematics,Mathematical Physics Seminar,1,0,0
2d7e54-e26c65-c7,Oregon State University,Computer Science,AI Seminar,0,0,0
2d9288-a8a2e5-1e,University of South Carolina,Physics,Colloquia,0,1,2
2d959d-6de411-79,New York University,Chemistry,Seminar,0,1,1
2d9b5d-a335ae-d1,Pennsylvania State University,Mathematics,Center for Dynamics and Geometry Colloquium,0,0,0
2e218a-f9655a-ac,University of Massachusetts Amherst,Mathematics,Analysis and PDE Seminar,0,1,1
2e25f5-67151f-a2,Ohio State University,Mathematics,Harmonic analysis & several complex variables seminar,1,1,1
2e898f-e2a69f-92,Texas A&M University,Mathematics,Geometry Seminar,1,1,1
2e8de6-79564d-ce,Ohio State University,Mathematics,Arithmetic Geometry,1,1,1
2e9e13-38c7a5-46,Arizona State University,Physics,Wednesday Cosmology Seminar,1,1,1
2f2c30-9d8b31-24,"University of California, Davis",Physics,Nuclear Seminar,0,0,0
2f6158-df5fb5-05,Rutgers University-New Brunswick,Physics,Equity and Inclusion Journal Club,0,1,1
2f8538-e851a0-c8,University of Colorado Boulder,Mathematics,Probability Seminar,0,0,0
2f9bd1-e82290-4a,University of Texas at Arlington,Physics,Colloquium Series,0,0,0
2fc2fc-b03713-a7,Northwestern University,Mathematics,Number Theory,1,0,0
2ff8fc-f22539-04,University of Connecticut,Chemistry,Chemistry Colloquia,1,1,2
300242-4f18c1-a7,"Graduate Center, CUNY",Mathematics,Probability Seminar,1,0,0
30045e-ad83e3-76,University of Notre Dame,Mathematics,Geometric Analysis Seminars,1,1,1
300f07-e11dda-fe,Harvard University,Computer Science,CRCS Seminar (Center for Research on Computation and Society),1,0,0
3014fa-d5e3d6-45,University of Delaware,Mathematics,Mathematics Education Seminar,1,0,0
301c28-e5dfd7-11,"Graduate Center, CUNY",Mathematics,Commutative Algebra and Algebraic Geometry Seminar,1,0,0
302546-b2b41e-62,University of Notre Dame,Physics,Physics Colloquium,0,1,1
304530-00d6c1-3d,New York University,Physics,CCPP Seminar,1,1,1
30add6-d82e2f-ec,Stony Brook University,Physics,"Atomic, Molecular and Optical Physics Seminar",1,0,0
30bb95-6d1ac1-7d,Virginia Tech,Mathematics,Algebra Seminar,0,1,1
30d2d1-88dbb4-83,"University of California, Los Angeles",Physics,Nuclear Seminars,1,1,1
310d5f-1d84f2-ed,University of Oklahoma,Physics,Physics and Astronomy Colloquium,0,0,0
31677e-a65b39-a2,Virginia Tech,Mathematics,MathBio Seminar,0,1,1
