seminar_link,university,department,seminar name,university,department,seminar name
https://chem.unl.edu/colloquia-schedule#Fall2023,University of Nebraska-Lincoln,Chemistry,Chemistry Colloquium,University of Nebraska-Lincoln,Chemistry,Chemistry Colloquium
https://chem.wisc.edu/analytical-chemistry-seminars/,University of Wisconsin-Madison,Chemistry,Analytical Chemistry,University of Wisconsin-Madison,Chemistry,Analytical Chemistry
https://chem.wisc.edu/chemical-biology-seminars/,University of Wisconsin-Madison,Chemistry,Chemical Biology Seminars,University of Wisconsin-Madison,Chemistry,Chemical Biology Seminars
https://chem.wisc.edu/chemistry-education-seminars/,University of Wisconsin-Madison,Chemistry,Chemical Education Seminars,University of Wisconsin-Madison,Chemistry,Chemical Education Seminars
https://chem.wisc.edu/inorganic-chemistry-seminars/,University of Wisconsin-Madison,Chemistry,Inorganic Chemistry Seminars,University of Wisconsin-Madison,Chemistry,Inorganic Chemistry Seminars
https://chem.wisc.edu/materials-chemistry-seminars/,University of Wisconsin-Madison,Chemistry,Materials Seminars,University of Wisconsin-Madison,Chemistry,Materials Seminars
https://chem.wisc.edu/organic-chemistry-seminars/,University of Wisconsin-Madison,Chemistry,Organic Chemistry Seminars,University of Wisconsin-Madison,Chemistry,Organic Chemistry Seminars
https://chem.wisc.edu/physical-chemistry-seminars/,University of Wisconsin-Madison,Chemistry,Physical Chemistry Seminars,University of Wisconsin-Madison,Chemistry,Physical Chemistry Seminars
https://chem.wisc.edu/theoretical-chemistry-seminars/,University of Wisconsin-Madison,Chemistry,Theoretical Chemistry Seminars,University of Wisconsin-Madison,Chemistry,Theoretical Chemistry Seminars
https://chemistry.as.miami.edu/about-the-department/seminars/index.html,University of Miami,Chemistry,Seminars,University of Miami,Chemistry,Seminars
https://chemistry.as.virginia.edu/seminars-archive,University of Virginia,Chemistry,Seminars,University of Virginia,Chemistry,Seminars
https://chemistry.cornell.edu/seminars-and-lectures,Cornell University,Chemistry,Colloquia,Cornell University,Chemistry,Colloquia
https://chemistry.harvard.edu/calendar/upcoming/seminars/inorganic-chemistry-seminar,Harvard University,Chemistry,Harvard/MIT Inorganic Chemistry Seminar,Harvard University,Chemistry,Harvard/MIT Inorganic Chemistry Seminar
https://chemistry.harvard.edu/calendar/upcoming/seminars/woodward-ccb-departmental-colloquium,Harvard University,Chemistry,Woodward CCB Departmental Colloquium,Harvard University,Chemistry,Woodward CCB Departmental Colloquium
https://chemistry.montana.edu/seminars/index.html,Montana State University,Chemistry,Chemistry and Biochemistry Seminars,Montana State University,Chemistry,Chemistry and Biochemistry Seminars
https://chemistry.olemiss.edu/events/,University of Mississippi,Chemistry,Seminars,University of Mississippi,Chemistry,Seminars
https://chemistry.princeton.edu/department/seminars-events/?event_range=past&event_type=8&event_research_area=222&event_search=,Princeton University,Chemistry,Catalysis/Synthesis Seminar,Princeton University,Chemistry,Catalysis/Synthesis Seminar
https://chemistry.princeton.edu/department/seminars-events/?event_range=upcoming&event_type=8&event_research_area=223&event_search=,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://chemistry.princeton.edu/department/seminars-events/?event_range=upcoming&event_type=8&event_research_area=224&event_search=,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://chemistry.princeton.edu/department/seminars-events/?event_range=upcoming&event_type=8&event_research_area=225&event_search=,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://chemistry.princeton.edu/department/seminars-events/?event_range=past&event_type=8&event_research_area=227&event_search=,Princeton University,Chemistry,Theoretical Chemistry,Princeton University,Chemistry,Theoretical Chemistry
https://chemistry.princeton.edu/department/seminars-events/?event_range=upcoming&event_type=8&event_research_area=226&event_search=,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://chemistry.sciences.ncsu.edu/series/analytical-chemistry-seminar-series/,North Carolina State University,Chemistry,Analytical Chemistry Seminar Series,North Carolina State University,Chemistry,Analytical Chemistry Seminar Series
https://chemistry.sciences.ncsu.edu/series/chemistry-colloquium/,North Carolina State University,Chemistry,Chemistry Colloquium Series,North Carolina State University,Chemistry,Chemistry Colloquium Series
https://chemistry.sciences.ncsu.edu/series/inorganic-chemistry-seminar-series-2/,North Carolina State University,Chemistry,Inorganic Chemistry Seminar Series,North Carolina State University,Chemistry,Inorganic Chemistry Seminar Series
https://chemistry.sciences.ncsu.edu/series/organic-chemistry-seminar-series-3/,North Carolina State University,Chemistry,Organic Chemistry Seminar Series,North Carolina State University,Chemistry,Organic Chemistry Seminar Series
https://chemistry.ua.edu/events/month/2023-09/,University of Alabama,Chemistry,Department Seminars,University of Alabama,Chemistry,Department Seminars
https://chemistry.uark.edu/research/seminars/current.php,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
https://chemistry.unm.edu/news-events/upcoming-seminars.html,University of New Mexico,Chemistry,Department of Chemistry and Chemical Biology Seminars,University of New Mexico,Chemistry,Department of Chemistry and Chemical Biology Seminars
https://chemistry.utdallas.edu/events/,University of Texas at Dallas,Chemistry,Department Seminar Series,University of Texas at Dallas,Chemistry,Department Seminar Series
https://cims.nyu.edu/dynamic/calendars/seminars/computational-mathematics-and-scientific-computing-seminar/,New York University,Computer Science,Computational Mathematics and Scientific Computing Seminar,New York University,Computer Science,Computational Mathematics and Scientific Computing Seminar
https://clas.wayne.edu/physics/seminars/pan,Wayne State University,Physics,Condensed Matter & Biophysics Seminars,Wayne State University,Physics,Condensed Matter & Biophysics Seminars
https://clas.wayne.edu/physics/seminars/physics,Wayne State University,Physics,Physics & Astronomy Colloquium,Wayne State University,Physics,Physics & Astronomy Colloquium
https://cmai.gmu.edu/events/,George Mason University,Mathematics,CMAI (Center for Mathematics and Artificial Intelligence) Colloquium,George Mason University,Mathematics,CMAI (Center for Mathematics and Artificial Intelligence) Colloquium
https://cml.ics.uci.edu/aiml/,"University of California, Irvine",Computer Science,AI/ML Seminar Series,"University of California, Irvine",Computer Science,AI/ML Seminar Series
https://colloquium.sites.northeastern.edu/,Brandeis University,Mathematics,Brandeis-Harvard-MIT-Northeastern Joint Mathematics Colloquium,Brandeis University,Mathematics,Brandeis-Harvard-MIT-Northeastern Joint Mathematics Colloquium
https://community.wvu.edu/~skhushalanisolanki/seminars14.html,West Virginia University,Computer Science,Seminars,West Virginia University,Computer Science,Seminars
https://computing.louisiana.edu/cacs-research/cacs-seminars,University of Louisiana at Lafayette,Computer Science,CACS Seminars,University of Louisiana at Lafayette,Computer Science,CACS Seminars
https://computing.unl.edu/current-colloquium-series/,University of Nebraska-Lincoln,Computer Science,Colloquium Series,University of Nebraska-Lincoln,Computer Science,Colloquium Series
https://cornell-scan.github.io/,Cornell University,Computer Science,Scientific Computing and Numerics (SCAN) Seminar,Cornell University,Computer Science,Scientific Computing and Numerics (SCAN) Seminar
https://cos.northeastern.edu/events/physics-colloquium-prof-jeff-gore-mit/,Northeastern University,Physics,Physics Colloquium,Northeastern University,Physics,Physics Colloquium
