university,discipline,seminar_name,seminar_link
Columbia University,Physics,High Energy Particle Seminars (HEP),https://www.physics.columbia.edu/event-type/hep-seminar
Columbia University,Physics,Theory Seminars,https://www.physics.columbia.edu/content/theory-seminars
Columbia University,Physics,Zeminars in Programmable Quantum Materials (ProQM),https://www.physics.columbia.edu/content/zeminars-programmable-quantum-materials
Columbia University,Physics,Materials Science and Engineering Colloquium,https://www.apam.columbia.edu/materials-science-and-engineering-colloquium-0
Cornell University,Physics,Colloquia,https://physics.cornell.edu/upcoming-colloquia
Cornell University,Physics,Quantum Theory Seminar,https://quantumtheory.physics.cornell.edu/
Cornell University,Physics,Particle Theory Seminar,https://www.classe.cornell.edu/NewsAndEvents/ParticleTheory/WebHome.html
Cornell University,Physics,Joint Experimental and Theory Seminars in Particle Physics and Cosmology,https://www.classe.cornell.edu/NewsAndEvents/JointSeminars.html
Dartmouth College,Physics,Physics and Astronomy Colloquia,https://physics.dartmouth.edu/news-events/physics-and-astronomy-colloquia
Emory University,Physics,Physics Department Colloquium,https://physics.emory.edu/home/news/index.html?trumbaEmbed=view%3Devent%26eventid%3D169227492
Florida International University,Physics,Physics Seminars,https://case.fiu.edu/physics/seminars/
Florida State University,Physics,Physics Colloquium,https://physics.fsu.edu/news-events/physics-colloquium
Florida State University,Physics,Nuclear Seminar,https://physics.fsu.edu/nuclear_seminar
Florida State University,Physics,Higher Energy Physics Seminar,https://physics.fsu.edu/news-events/high-energy-physics-seminar
Florida State University,Physics,Astrophysics Seminar,https://physics.fsu.edu/news-events/astrophysics-seminar
George Mason University,Physics,Physics and Astronomy Colloquia,https://science.gmu.edu/academics/departments-units/physics-and-astronomy-department/advising/physics-colloquia
George Washington University,Physics,Colloquium,https://physics.columbian.gwu.edu/colloquia-2023-2024
Georgetown University,Physics,Colloquia,https://physics.georgetown.edu/talks-events/colloquia/
Georgia Institute of Technology,Physics,School of Physics Colloquium,https://www.physics.gatech.edu/colloquium
Georgia Institute of Technology,Physics,School of Physics Seminar,https://physics.gatech.edu/event/school-physics-seminar
Georgia Institute of Technology,Physics,Physics of Living Systems (PoLS) Seminar,https://physics.gatech.edu/event/physics-living-systems-pols-seminar-dr-shashank-shekhar
Georgia Institute of Technology,Physics,Soft Condensed Matter Seminar,https://physics.gatech.edu/event/soft-condensed-matter-seminar-prof-byung-kim
Georgia State University,Physics,Colloquium,https://physics-astro.gsu.edu/about/colloquium-schedule/
Harvard University,Physics,Physics Monday Colloquium,https://www.physics.harvard.edu/colloq
Harvard University,Physics,Condensed Matter Physics Seminars,http://cmt.harvard.edu/cmpseminar.html
Harvard University,Physics,LPPC Seminar,https://groups.google.com/g/lppc-seminar
Harvard University,Physics,CUA Seminar Series,https://cua.mit.edu/event-type/cua-seminar-series/
Indiana University Bloomington,Physics,Colloquium,https://physics.indiana.edu/news-events/events/colloquium-calendar.html
Indiana University Bloomington,Physics,LENS/Condensed Matter Physics Seminars,https://physics.indiana.edu/news-events/events/lens-cmp-seminars.html
