department,num_email_recipients,num_female_recipients,pct_female_recipients,num_urm_recipients,pct_urm_recipients,num_black_recipients,pct_black_recipients,num_hispanic_recipients,pct_hispanic_recipients,num_assistant_prof_recipients,pct_assistant_prof_recipients,department_clean
Florida State University-Chemistry,3,1,0.3333,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-Florida State University
Florida State University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-Florida State University
Florida State University-Mathematics,6,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Florida State University
Florida State University-Mechanical Engineering,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-Florida State University
Florida State University-Physics,2,0,0.0,2,1.0,0,0.0,2,1.0,0,0.0,Physics-Florida State University
George Mason University-Chemistry,4,0,0.0,1,0.25,1,0.25,0,0.0,0,0.0,Chemistry-George Mason University
George Mason University-Computer Science,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Computer Science-George Mason University
George Mason University-Mathematics,11,2,0.1818,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-George Mason University
George Mason University-Mechanical Engineering,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Mechanical Engineering-George Mason University
George Mason University-Physics,2,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,Physics-George Mason University
George Washington University-Chemistry,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Chemistry-George Washington University
George Washington University-Mathematics,2,1,0.5,1,0.5,0,0.0,1,0.5,0,0.0,Mathematics-George Washington University
George Washington University-Physics,3,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Physics-George Washington University
Georgetown University-Chemistry,2,2,1.0,1,0.5,1,0.5,0,0.0,0,0.0,Chemistry-Georgetown University
Georgetown University-Mathematics,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,Mathematics-Georgetown University
