department,num_female_urm,num_female_total,pct_urm_among_female,treatment,bin_category
Ohio State University-Chemistry,1,1,1.0,1.0,"(1,3]"
Ohio State University-Physics,0,1,0.0,1.0,"(7,11]"
Oklahoma State University-Stillwater-Physics,0,1,0.0,0.0,"[0,1]"
Old Dominion University-Computer Science,0,1,0.0,0.0,"[0,1]"
Old Dominion University-Mathematics,1,1,1.0,,
Oregon State University-Chemistry,0,1,0.0,0.0,"[0,1]"
Pennsylvania State University-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
Princeton University-Computer Science,0,1,0.0,1.0,"[0,1]"
Princeton University-Mechanical Engineering,0,1,0.0,0.0,"(1,3]"
Purdue University-Chemistry,0,1,0.0,0.0,"(7,11]"
Purdue University-Mathematics,0,1,0.0,1.0,"(5,7]"
Rensselaer Polytechnic Institute-Mechanical Engineering,0,1,0.0,1.0,"[0,1]"
Rice University-Computer Science,1,1,1.0,0.0,"(1,3]"
Rice University-Mathematics,0,1,0.0,1.0,"(3,5]"
Rice University-Mechanical Engineering,0,2,0.0,1.0,"[0,1]"
Rutgers University-New Brunswick-Chemistry,0,1,0.0,1.0,"(3,5]"
Rutgers University-New Brunswick-Computer Science,0,1,0.0,1.0,"(1,3]"
Rutgers University-New Brunswick-Mathematics,1,1,1.0,0.0,"(11,17]"
Rutgers University-New Brunswick-Mechanical Engineering,0,1,0.0,1.0,"[0,1]"
Rutgers University-New Brunswick-Physics,0,1,0.0,0.0,"(17,26]"
Stanford University-Physics,0,1,0.0,0.0,"[0,1]"
Stony Brook University-Chemistry,1,1,1.0,0.0,"(3,5]"
Stony Brook University-Mathematics,0,1,0.0,0.0,"(11,17]"
Stony Brook University-Physics,0,3,0.0,1.0,"(11,17]"
Syracuse University-Chemistry,0,1,0.0,1.0,"[0,1]"
Syracuse University-Physics,1,2,0.5,1.0,"(3,5]"
Temple University-Chemistry,1,2,0.5,1.0,"[0,1]"
Temple University-Mathematics,1,1,1.0,0.0,"(5,7]"
Temple University-Physics,0,2,0.0,1.0,"(1,3]"
Texas A&M University-Chemistry,0,1,0.0,1.0,"[0,1]"
Texas A&M University-Computer Science,0,1,0.0,0.0,"[0,1]"
Texas A&M University-Mechanical Engineering,0,1,0.0,1.0,"(1,3]"
Texas A&M University-Physics,1,1,1.0,,
Texas Tech University-Mathematics,1,2,0.5,0.0,"(1,3]"
Texas Tech University-Physics,0,1,0.0,1.0,"[0,1]"
Tufts University-Chemistry,0,1,0.0,1.0,"[0,1]"
Tufts University-Mathematics,1,2,0.5,0.0,"(5,7]"
Tufts University-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
Tufts University-Physics,2,2,1.0,1.0,"(3,5]"
Tulane University-Chemistry,0,1,0.0,0.0,"[0,1]"
Tulane University-Computer Science,1,2,0.5,0.0,"(1,3]"
Tulane University-Mathematics,1,1,1.0,1.0,"(7,11]"
Tulane University-Physics,1,1,1.0,1.0,"[0,1]"
University at Buffalo-Chemistry,0,1,0.0,0.0,"(1,3]"
University at Buffalo-Computer Science,0,1,0.0,0.0,"(1,3]"
University at Buffalo-Mathematics,0,1,0.0,0.0,"(3,5]"
University at Buffalo-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
University of Alabama at Birmingham-Chemistry,0,1,0.0,1.0,"[0,1]"
University of Alabama at Birmingham-Mathematics,0,2,0.0,0.0,"[0,1]"
University of Alabama in Huntsville-Mathematics,0,1,0.0,0.0,"[0,1]"
University of Alabama-Computer Science,0,1,0.0,0.0,"[0,1]"
University of Alabama-Mathematics,0,1,0.0,0.0,"(1,3]"
University of Alabama-Mechanical Engineering,1,1,1.0,1.0,"[0,1]"
University of Arizona-Chemistry,0,1,0.0,0.0,"(5,7]"
University of Arizona-Computer Science,1,2,0.5,1.0,"[0,1]"
University of Arizona-Mathematics,1,1,1.0,1.0,"(11,17]"
University of Arizona-Physics,0,1,0.0,0.0,"(3,5]"
"University of California, Berkeley-Computer Science",0,1,0.0,0.0,"[0,1]"
"University of California, Berkeley-Mechanical Engineering",1,1,1.0,0.0,"[0,1]"
"University of California, Davis-Chemistry",0,1,0.0,1.0,"[0,1]"
"University of California, Davis-Mathematics",0,1,0.0,0.0,"(11,17]"
"University of California, Irvine-Chemistry",0,1,0.0,0.0,"[0,1]"
"University of California, Irvine-Computer Science",0,1,0.0,1.0,"(5,7]"
"University of California, Irvine-Mathematics",0,1,0.0,0.0,"(11,17]"
"University of California, Los Angeles-Chemistry",0,1,0.0,1.0,"(5,7]"
"University of California, Los Angeles-Mathematics",1,1,1.0,0.0,"(17,26]"
"University of California, Los Angeles-Physics",1,2,0.5,1.0,"(11,17]"
"University of California, Riverside-Computer Science",0,1,0.0,0.0,"(1,3]"
"University of California, Riverside-Physics",0,1,0.0,0.0,"(3,5]"
"University of California, San Diego-Chemistry",1,1,1.0,0.0,"(5,7]"
"University of California, San Diego-Mechanical Engineering",0,1,0.0,0.0,"(3,5]"
"University of California, Santa Barbara-Chemistry",0,1,0.0,1.0,"(3,5]"
"University of California, Santa Barbara-Computer Science",1,1,1.0,1.0,"(1,3]"
"University of California, Santa Barbara-Mechanical Engineering",1,1,1.0,,
"University of California, Santa Barbara-Physics",0,1,0.0,0.0,"(1,3]"
"University of California, Santa Cruz-Physics",0,1,0.0,1.0,"(1,3]"
University of Central Florida-Physics,1,1,1.0,1.0,"[0,1]"
University of Chicago-Computer Science,0,1,0.0,1.0,"[0,1]"
University of Chicago-Mathematics,1,3,0.3333333333333333,0.0,"(11,17]"
University of Cincinnati-Chemistry,0,1,0.0,0.0,"[0,1]"
University of Cincinnati-Mechanical Engineering,0,1,0.0,0.0,"[0,1]"
University of Colorado Boulder-Chemistry,0,1,0.0,1.0,"(3,5]"
University of Colorado Boulder-Mathematics,1,1,1.0,0.0,"(11,17]"
