department,condition,clicked,total_clicks,num_emails
Old Dominion University-Physics,control,1,1,2
Oregon State University-Chemistry,control,0,0,2
Oregon State University-Computer Science,control,0,0,1
Oregon State University-Mathematics,treatment,0,0,1
Oregon State University-Mechanical Engineering,treatment,0,0,1
Oregon State University-Physics,control,1,1,1
Pennsylvania State University-Chemistry,treatment,0,0,1
Pennsylvania State University-Mathematics,control,0,0,1
Pennsylvania State University-Mechanical Engineering,control,0,0,1
Pennsylvania State University-Physics,control,0,0,1
Princeton University-Chemistry,treatment,1,1,1
Princeton University-Computer Science,treatment,1,1,2
Princeton University-Mathematics,control,0,0,2
Princeton University-Mechanical Engineering,control,0,0,1
Princeton University-Physics,control,0,0,1
Purdue University-Chemistry,control,0,0,1
Purdue University-Computer Science,treatment,1,1,2
Purdue University-Mathematics,treatment,1,2,3
Purdue University-Mechanical Engineering,treatment,0,0,1
Purdue University-Physics,control,0,0,1
Rensselaer Polytechnic Institute-Chemistry,treatment,1,1,1
Rensselaer Polytechnic Institute-Computer Science,control,1,1,1
Rensselaer Polytechnic Institute-Mathematics,treatment,0,0,1
Rensselaer Polytechnic Institute-Mechanical Engineering,treatment,1,3,1
Rensselaer Polytechnic Institute-Physics,control,1,1,1
Rice University-Chemistry,treatment,1,1,2
Rice University-Computer Science,control,0,0,2
Rice University-Mathematics,treatment,0,0,2
Rice University-Mechanical Engineering,treatment,1,3,2
Rice University-Physics,treatment,0,0,2
Rutgers University-New Brunswick-Chemistry,treatment,0,0,2
Rutgers University-New Brunswick-Computer Science,treatment,0,0,2
Rutgers University-New Brunswick-Mathematics,control,1,4,12
Rutgers University-New Brunswick-Mechanical Engineering,treatment,1,1,2
Rutgers University-New Brunswick-Physics,control,1,2,9
Stanford University-Chemistry,treatment,1,2,2
Stanford University-Mathematics,treatment,1,3,13
Stanford University-Physics,control,0,0,2
Stony Brook University-Chemistry,control,0,0,2
Stony Brook University-Computer Science,control,1,1,2
Stony Brook University-Mathematics,control,1,5,2
Stony Brook University-Physics,treatment,1,3,9
Syracuse University-Chemistry,treatment,1,2,2
Syracuse University-Physics,treatment,0,0,2
Temple University-Chemistry,treatment,1,1,2
Temple University-Mathematics,control,1,4,7
Texas A&M University-Chemistry,treatment,1,1,2
Texas A&M University-Computer Science,control,0,0,2
Texas A&M University-Mathematics,treatment,1,5,9
Texas A&M University-Mechanical Engineering,treatment,0,0,2
Texas Tech University-Chemistry,treatment,0,0,2
Texas Tech University-Computer Science,treatment,0,0,2
Texas Tech University-Mathematics,control,1,1,2
Texas Tech University-Mechanical Engineering,treatment,1,1,2
Texas Tech University-Physics,treatment,1,1,2
Tufts University-Chemistry,treatment,1,1,2
Tufts University-Computer Science,control,1,1,2
Tufts University-Mathematics,control,1,1,7
Tufts University-Mechanical Engineering,control,0,0,2
Tufts University-Physics,treatment,1,1,3
Tulane University-Chemistry,control,0,0,1
Tulane University-Computer Science,control,1,1,2
Tulane University-Mathematics,treatment,1,5,6
Tulane University-Physics,treatment,1,1,2
"University at Albany, SUNY-Mathematics",control,1,2,5
"University at Albany, SUNY-Physics",treatment,0,0,2
University at Buffalo-Chemistry,control,1,3,2
University at Buffalo-Computer Science,control,0,0,2
University at Buffalo-Mathematics,control,1,1,2
University at Buffalo-Mechanical Engineering,control,1,1,2
University at Buffalo-Physics,treatment,1,2,3
University of Alabama at Birmingham-Chemistry,treatment,0,0,2
University of Alabama at Birmingham-Mathematics,control,1,1,2
University of Alabama in Huntsville-Mathematics,control,1,2,2
University of Alabama in Huntsville-Physics,control,1,4,2
University of Alabama-Chemistry,treatment,0,0,2
University of Alabama-Computer Science,control,0,0,2
University of Alabama-Mathematics,control,0,0,2
University of Alabama-Mechanical Engineering,treatment,0,0,2
University of Alabama-Physics,control,0,0,2
University of Arizona-Chemistry,control,0,0,2
University of Arizona-Computer Science,treatment,1,2,2
University of Arizona-Mathematics,treatment,1,5,1
University of Arizona-Mechanical Engineering,control,0,0,2
University of Arizona-Physics,control,0,0,2
University of Arkansas-Chemistry,treatment,0,0,2
University of Arkansas-Mathematics,treatment,1,1,4
"University of California, Berkeley-Chemistry",treatment,1,1,2
"University of California, Berkeley-Computer Science",control,1,5,2
"University of California, Berkeley-Mathematics",treatment,1,5,5
"University of California, Berkeley-Mechanical Engineering",control,0,0,2
"University of California, Berkeley-Physics",control,0,0,2
"University of California, Davis-Chemistry",treatment,1,3,2
"University of California, Davis-Mathematics",control,1,8,11
"University of California, Davis-Physics",control,0,0,2
"University of California, Irvine-Chemistry",control,0,0,2
"University of California, Irvine-Computer Science",treatment,1,2,3
"University of California, Irvine-Mathematics",control,1,1,2
"University of California, Irvine-Mechanical Engineering",control,1,2,2
"University of California, Irvine-Physics",treatment,0,0,2
"University of California, Los Angeles-Chemistry",treatment,0,0,2
"University of California, Los Angeles-Computer Science",treatment,1,2,2
"University of California, Los Angeles-Mathematics",control,0,0,2
"University of California, Los Angeles-Mechanical Engineering",control,0,0,2
"University of California, Los Angeles-Physics",treatment,1,3,7
"University of California, Riverside-Chemistry",treatment,0,0,2
"University of California, Riverside-Computer Science",control,0,0,2
"University of California, Riverside-Physics",control,1,2,2
"University of California, San Diego-Chemistry",control,1,3,1
"University of California, San Diego-Mathematics",treatment,1,2,13
"University of California, San Diego-Mechanical Engineering",control,1,1,2
"University of California, San Diego-Physics",treatment,1,1,2
"University of California, Santa Barbara-Chemistry",treatment,1,2,2
"University of California, Santa Barbara-Computer Science",treatment,0,0,2
"University of California, Santa Barbara-Mathematics",control,1,1,5
"University of California, Santa Barbara-Physics",control,1,1,1
"University of California, Santa Cruz-Chemistry",treatment,1,1,2
"University of California, Santa Cruz-Mathematics",treatment,1,2,4
"University of California, Santa Cruz-Physics",treatment,1,2,2
University of Central Florida-Mathematics,treatment,0,0,3
University of Central Florida-Physics,treatment,1,1,2
University of Chicago-Chemistry,treatment,1,4,3
University of Chicago-Computer Science,treatment,0,0,2
University of Chicago-Mathematics,control,1,8,14
University of Chicago-Physics,treatment,1,1,2
University of Cincinnati-Chemistry,control,0,0,2
University of Cincinnati-Mathematics,control,1,26,2
University of Cincinnati-Mechanical Engineering,control,0,0,2
University of Colorado Boulder-Chemistry,treatment,1,1,2
University of Colorado Boulder-Mathematics,control,1,2,10
University of Colorado Boulder-Mechanical Engineering,control,1,1,2
University of Colorado Boulder-Physics,control,1,2,4
University of Colorado Denver-Chemistry,treatment,1,1,2
University of Colorado Denver-Mathematics,treatment,0,0,2
University of Connecticut-Chemistry,treatment,1,3,2
University of Connecticut-Mathematics,treatment,1,4,6
University of Connecticut-Mechanical Engineering,treatment,1,1,1
University of Connecticut-Physics,treatment,0,0,2
University of Delaware-Computer Science,treatment,1,1,2
University of Delaware-Mathematics,treatment,1,1,7
University of Delaware-Mechanical Engineering,control,0,0,2
University of Delaware-Physics,treatment,0,0,2
University of Denver-Chemistry,control,0,0,2
University of Denver-Mathematics,control,1,4,4
University of Denver-Physics,treatment,1,4,2
University of Florida-Chemistry,control,0,0,2
University of Florida-Computer Science,treatment,1,1,1
University of Florida-Mathematics,control,1,6,5
University of Florida-Mechanical Engineering,treatment,0,0,2
University of Florida-Physics,control,1,1,2
University of Georgia-Chemistry,control,1,1,2
University of Georgia-Mathematics,treatment,0,0,2
University of Georgia-Physics,control,1,1,1
University of Hawaii at Manoa-Mathematics,control,0,0,1
University of Hawaii at Manoa-Mechanical Engineering,treatment,1,2,1
University of Hawaii at Manoa-Physics,control,1,3,1
University of Houston-Chemistry,treatment,1,3,2
University of Houston-Computer Science,treatment,0,0,1
University of Houston-Mathematics,treatment,1,2,6
University of Houston-Mechanical Engineering,control,1,6,1
University of Houston-Physics,control,0,0,1
University of Illinois Chicago-Chemistry,treatment,1,1,1
University of Illinois Chicago-Computer Science,control,0,0,2
University of Illinois Chicago-Mathematics,control,1,2,1
University of Illinois Chicago-Mechanical Engineering,treatment,0,0,2
University of Illinois Chicago-Physics,treatment,0,0,2
University of Illinois Urbana-Champaign-Chemistry,control,0,0,1
University of Illinois Urbana-Champaign-Computer Science,treatment,1,2,2
University of Illinois Urbana-Champaign-Mathematics,treatment,1,4,1
University of Illinois Urbana-Champaign-Mechanical Engineering,treatment,0,0,1
University of Illinois Urbana-Champaign-Physics,treatment,1,4,2
University of Iowa-Chemistry,control,1,2,1
University of Iowa-Computer Science,control,1,2,2
University of Iowa-Mathematics,control,1,1,1
University of Iowa-Physics,control,0,0,2
University of Kansas-Chemistry,control,1,1,2
University of Kansas-Mathematics,control,1,2,2
University of Kansas-Physics,control,1,2,2
University of Kentucky-Chemistry,treatment,0,0,1
University of Kentucky-Computer Science,treatment,0,0,1
University of Kentucky-Mathematics,control,1,2,2
University of Kentucky-Mechanical Engineering,treatment,0,0,1
University of Kentucky-Physics,control,0,0,1
University of Louisiana at Lafayette-Computer Science,treatment,0,0,1
University of Louisiana at Lafayette-Mathematics,control,1,5,6
University of Louisiana at Lafayette-Physics,treatment,0,0,2
University of Louisville-Chemistry,control,0,0,1
University of Louisville-Computer Science,control,0,0,2
University of Louisville-Mathematics,control,0,0,2
University of Louisville-Physics,treatment,1,1,2
University of Maine-Mathematics,control,1,1,2
University of Maine-Physics,treatment,1,1,2
"University of Maryland, Baltimore County-Mathematics",treatment,0,0,1
"University of Maryland, Baltimore County-Physics",control,1,1,2
"University of Maryland, College Park-Computer Science",treatment,0,0,3
"University of Maryland, College Park-Mathematics",control,1,19,15
"University of Maryland, College Park-Physics",control,1,1,2
University of Massachusetts Amherst-Chemistry,control,1,1,1
University of Massachusetts Amherst-Computer Science,control,1,1,2
University of Massachusetts Amherst-Mathematics,control,1,2,4
University of Memphis-Chemistry,treatment,0,0,2
University of Memphis-Mathematics,control,0,0,1
University of Memphis-Physics,treatment,0,0,1
University of Miami-Chemistry,control,1,2,1
University of Miami-Mathematics,treatment,0,0,1
University of Miami-Physics,treatment,0,0,1
University of Michigan-Chemistry,treatment,1,2,1
University of Michigan-Computer Science,treatment,1,2,9
University of Michigan-Mathematics,treatment,1,17,10
University of Michigan-Mechanical Engineering,treatment,0,0,2
University of Michigan-Physics,treatment,1,1,3
University of Minnesota-Chemistry,control,1,2,1
University of Minnesota-Computer Science,control,0,0,1
University of Minnesota-Mathematics,treatment,1,6,7
University of Minnesota-Mechanical Engineering,treatment,0,0,1
University of Minnesota-Physics,treatment,0,0,1
University of Mississippi-Mathematics,treatment,0,0,1
University of Mississippi-Physics,control,1,1,2
University of Missouri-Chemistry,treatment,1,1,2
University of Missouri-Mathematics,control,1,2,6
University of Missouri-Physics,treatment,0,0,2
University of Montana-Chemistry,treatment,0,0,2
University of Montana-Mathematics,treatment,1,2,1
University of Nebraska-Lincoln-Chemistry,treatment,0,0,1
University of Nebraska-Lincoln-Computer Science,control,0,0,1
University of Nebraska-Lincoln-Mathematics,control,1,1,2
University of Nebraska-Lincoln-Physics,treatment,0,0,1
"University of Nevada, Las Vegas-Physics",treatment,0,0,1
"University of Nevada, Reno-Mathematics",treatment,0,0,1
University of New Hampshire-Chemistry,treatment,0,0,1
University of New Hampshire-Mathematics,treatment,0,0,1
University of New Hampshire-Physics,control,1,1,2
University of New Mexico-Chemistry,control,0,0,1
University of New Mexico-Computer Science,treatment,0,0,1
University of New Mexico-Mathematics,control,1,1,4
University of New Mexico-Physics,control,1,1,2
University of North Carolina at Chapel Hill-Chemistry,control,1,2,2
University of North Carolina at Chapel Hill-Computer Science,control,0,0,2
University of North Carolina at Chapel Hill-Mathematics,treatment,1,4,7
University of North Carolina at Chapel Hill-Physics,treatment,0,0,2
University of North Texas-Chemistry,control,0,0,2
University of North Texas-Computer Science,control,0,0,1
University of North Texas-Mathematics,treatment,0,0,2
University of North Texas-Mechanical Engineering,treatment,1,1,1
University of Notre Dame-Chemistry,treatment,1,2,2
University of Notre Dame-Mathematics,treatment,1,3,4
University of Notre Dame-Physics,control,1,2,2
University of Oklahoma-Chemistry,treatment,0,0,2
University of Oklahoma-Mathematics,treatment,1,9,6
University of Oklahoma-Physics,control,0,0,2
University of Oregon-Computer Science,control,0,0,2
University of Oregon-Mathematics,treatment,1,3,2
University of Oregon-Physics,control,0,0,2
University of Pennsylvania-Chemistry,treatment,1,14,4
University of Pennsylvania-Computer Science,treatment,1,4,3
University of Pennsylvania-Mathematics,control,1,2,3
University of Pennsylvania-Mechanical Engineering,treatment,1,9,2
University of Pittsburgh-Chemistry,control,1,1,2
University of Pittsburgh-Computer Science,treatment,1,1,2
University of Pittsburgh-Physics,treatment,1,1,2
University of Rochester-Chemistry,treatment,0,0,2
University of Rochester-Computer Science,treatment,1,3,1
University of Rochester-Mechanical Engineering,treatment,0,0,2
University of Rochester-Physics,control,1,3,4
University of South Carolina-Chemistry,control,1,1,2
University of South Carolina-Mathematics,control,1,5,7
University of South Carolina-Physics,control,1,2,2
University of South Florida-Chemistry,control,1,1,2
University of South Florida-Computer Science,control,1,3,2
University of South Florida-Mathematics,control,1,1,4
University of South Florida-Mechanical Engineering,treatment,0,0,2
University of Southern California-Chemistry,control,1,1,2
University of Southern California-Computer Science,control,1,3,1
University of Southern California-Mathematics,control,1,4,2
University of Southern California-Mechanical Engineering,control,1,2,1
University of Southern California-Physics,treatment,0,0,2
University of Southern Mississippi-Chemistry,control,1,2,2
University of Southern Mississippi-Mechanical Engineering,treatment,0,0,2
University of Southern Mississippi-Physics,control,0,0,1
University of Tennessee-Chemistry,control,0,0,2
University of Tennessee-Computer Science,control,0,0,2
University of Tennessee-Mathematics,control,1,2,7
University of Tennessee-Physics,control,1,1,2
University of Texas at Arlington-Chemistry,treatment,0,0,2
University of Texas at Arlington-Computer Science,treatment,1,3,1
University of Texas at Arlington-Mathematics,control,0,0,2
University of Texas at Arlington-Physics,control,0,0,2
University of Texas at Austin-Computer Science,treatment,1,1,2
University of Texas at Austin-Mathematics,control,1,2,2
University of Texas at Austin-Physics,treatment,1,2,2
University of Texas at Dallas-Chemistry,control,0,0,2
University of Texas at Dallas-Mathematics,treatment,1,1,4
University of Texas at Dallas-Physics,control,1,1,2
University of Texas at El Paso-Computer Science,control,0,0,1
University of Texas at El Paso-Mathematics,control,0,0,2
University of Texas at San Antonio-Chemistry,treatment,1,2,2
University of Texas at San Antonio-Physics,treatment,0,0,2
University of Utah-Chemistry,treatment,0,0,1
University of Utah-Computer Science,treatment,1,1,1
University of Utah-Mathematics,treatment,0,0,6
University of Utah-Mechanical Engineering,control,1,1,1
University of Utah-Physics,control,0,0,1
University of Virginia-Chemistry,control,1,2,2
University of Virginia-Mathematics,control,1,2,10
University of Virginia-Physics,control,1,1,4
University of Washington-Chemistry,control,1,2,2
University of Washington-Computer Science,treatment,0,0,1
University of Washington-Mathematics,treatment,1,7,4
University of Washington-Mechanical Engineering,treatment,0,0,1
University of Washington-Physics,treatment,1,2,2
University of Wisconsin-Madison-Chemistry,treatment,1,7,2
University of Wisconsin-Madison-Mathematics,control,1,12,15
University of Wisconsin-Madison-Mechanical Engineering,treatment,1,1,2
University of Wisconsin-Madison-Physics,control,1,1,4
University of Wisconsin-Milwaukee-Mathematics,control,0,0,1
University of Wisconsin-Milwaukee-Physics,control,0,0,1
Utah State University-Chemistry,treatment,0,0,2
Utah State University-Mathematics,control,0,0,1
Utah State University-Mechanical Engineering,treatment,1,3,2
Utah State University-Physics,treatment,0,0,1
Vanderbilt University-Chemistry,treatment,0,0,1
Vanderbilt University-Mathematics,control,1,2,5
Vanderbilt University-Mechanical Engineering,control,0,0,2
Vanderbilt University-Physics,control,0,0,1
Virginia Commonwealth University-Chemistry,treatment,1,1,2
Virginia Commonwealth University-Mathematics,treatment,1,9,6
Virginia Commonwealth University-Mechanical Engineering,treatment,0,0,1
Virginia Commonwealth University-Physics,treatment,0,0,1
Virginia Tech-Chemistry,treatment,1,1,1
Virginia Tech-Computer Science,control,1,1,1
Virginia Tech-Mathematics,control,1,1,2
Virginia Tech-Mechanical Engineering,control,1,1,1
Virginia Tech-Physics,control,0,0,5
Washington State University-Chemistry,treatment,0,0,2
Washington State University-Computer Science,treatment,0,0,1
Washington State University-Mathematics,treatment,1,2,2
Washington State University-Mechanical Engineering,control,0,0,1
Washington State University-Physics,treatment,0,0,1
Washington University in St. Louis-Chemistry,treatment,1,2,2
Washington University in St. Louis-Computer Science,treatment,1,1,1
Washington University in St. Louis-Mathematics,treatment,0,0,1
Washington University in St. Louis-Mechanical Engineering,control,0,0,1
Washington University in St. Louis-Physics,control,1,3,2
Wayne State University-Chemistry,control,1,1,4
Wayne State University-Computer Science,control,1,1,1
Wayne State University-Mathematics,control,1,7,6
Wayne State University-Mechanical Engineering,control,0,0,2
Wayne State University-Physics,treatment,0,0,2
West Virginia University-Chemistry,treatment,0,0,2
West Virginia University-Mathematics,treatment,1,1,1
West Virginia University-Physics,treatment,1,1,2
Yale University-Chemistry,control,1,1,2
Yale University-Computer Science,control,1,1,1
Yale University-Mathematics,control,0,0,1
Yale University-Physics,treatment,1,4,1
