seminar_id,university,discipline,condition,total_speakers,unique_speakers,speakers_from_db,urm_from_db,black_from_db,hispanic_from_db,female_from_db,pct_from_db,pct_urm_from_db,pct_black_from_db,pct_hispanic_from_db,pct_female_from_db,any_from_db,any_urm_from_db,any_black_from_db,any_hispanic_from_db,any_female_from_db
f6683c-a6ab79-2d,"University of California, Berkeley",Mathematics,treatment,4,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f676d4-69642c-a7,University of Arizona,Mathematics,treatment,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f6c0d9-695ff9-b1,University of Michigan,Physics,treatment,21,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f6d9dc-dfd2f8-a8,"University of California, Los Angeles",Chemistry,treatment,14,14,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f6df41-ac2555-67,"University of Maryland, College Park",Physics,control,23,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f6ef70-b41e96-40,Colorado State University,Chemistry,treatment,13,13,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f7598a-d8ebf9-d9,Purdue University,Physics,control,15,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f79ac8-7c6233-9f,Brown University,Mathematics,control,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f7cd94-479386-f7,University of Minnesota,Computer Science,control,34,34,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f822f3-edf2b8-71,North Carolina State University,Computer Science,control,19,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f826a6-21f2b7-f2,Purdue University,Mathematics,treatment,30,27,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f89059-83a4a7-d9,"University of Maryland, College Park",Mathematics,control,29,28,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f8bbf1-0e6afd-27,Rutgers University-New Brunswick,Computer Science,treatment,7,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f8e9e2-ad6798-2e,Northeastern University,Physics,treatment,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f91ff6-ad1b8a-a2,Johns Hopkins University,Physics,control,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f95206-a3fda4-dc,Emory University,Chemistry,control,25,23,1,0,0,0,1,4.0,0.0,0.0,0.0,4.0,1,0,0,0,1
f96fc3-2715f0-03,Stony Brook University,Mathematics,control,16,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f9a08f-ff91ec-77,Yale University,Mathematics,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f9e662-3c0e16-a9,Virginia Commonwealth University,Mathematics,treatment,10,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f9e9c4-251abf-62,Iowa State University,Chemistry,control,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
f9f4fd-83e346-b3,Florida State University,Chemistry,control,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fa33f3-a5e719-4c,University of Georgia,Mathematics,treatment,22,21,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fa95cc-1c00f2-7e,Colorado State University,Physics,control,29,29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
faf5af-cf5a4a-53,Columbia University,Physics,treatment,24,24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fb33f9-63d7ee-b5,Ohio State University,Mathematics,treatment,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fb6fc1-c5d7c6-e6,Michigan State University,Mathematics,control,13,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fbc0c9-9288ab-df,Purdue University,Chemistry,control,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fbe2ba-5f8eab-21,Brown University,Mathematics,control,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fc0598-ee834b-c9,Massachusetts Institute of Technology,Mathematics,control,24,24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fc1036-fa14ec-59,Stony Brook University,Physics,treatment,16,16,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fc1c08-122f75-0a,"Graduate Center, CUNY",Mathematics,treatment,22,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fc239e-e6a33c-c6,"University of California, Los Angeles",Mathematics,control,7,7,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fc42f0-1c727c-ef,Drexel University,Mathematics,control,15,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fc8643-0fceb2-83,Wayne State University,Mathematics,control,8,8,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fcc4ac-5b2ce4-1a,Stony Brook University,Mathematics,control,16,15,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fcd66a-d824a8-94,University of Minnesota,Mathematics,treatment,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fcd883-ff382a-7e,Rutgers University-New Brunswick,Chemistry,treatment,11,11,1,1,1,0,0,9.090909090909092,9.090909090909092,9.090909090909092,0.0,0.0,1,1,1,0,0
fcdb2f-495f4e-4e,Texas Tech University,Physics,treatment,29,29,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fcdd45-92e229-20,Georgetown University,Mathematics,control,19,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fd5b5c-f7e9b5-fd,Boston College,Physics,treatment,23,23,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fd8b82-029fb4-b4,"University of California, San Diego",Mathematics,treatment,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fdc27d-877d04-8f,University of Chicago,Mathematics,control,20,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fdd0ed-31bb6e-20,University of Houston,Mathematics,treatment,12,12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fe0d69-e9f89d-07,Iowa State University,Chemistry,control,10,10,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fe1390-4e37ce-a9,Duke University,Computer Science,treatment,3,3,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fe46e8-7be9ca-e6,"Graduate Center, CUNY",Mathematics,treatment,28,22,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fe5aa9-00f67b-c7,University of Colorado Denver,Mathematics,treatment,9,9,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fe9207-8ed4e9-98,Clemson University,Physics,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
fe9fb3-f9cddb-fc,"University of Maryland, College Park",Mathematics,control,25,24,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ff3b51-5f7fef-83,University of Pennsylvania,Mathematics,control,5,5,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ff3b80-0307f2-be,Binghamton University,Mechanical Engineering,control,6,6,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
ff3f53-75adda-c0,"University of California, Irvine",Computer Science,treatment,1,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
