department,condition,clicked,total_clicks,num_emails
Oregon State University-Computer Science,control,0,0,1
University of South Carolina-Physics,control,0,0,1
New York University-Chemistry,control,0,0,1
University of Texas at Arlington-Physics,control,0,0,1
University of Connecticut-Chemistry,treatment,0,0,1
University of Oklahoma-Physics,control,0,0,1
Washington State University-Mechanical Engineering,control,0,0,1
"University of Maryland, College Park-Physics",control,0,0,1
Auburn University-Mechanical Engineering,control,0,0,1
Harvard University-Mechanical Engineering,control,0,0,1
Vanderbilt University-Mechanical Engineering,control,0,0,1
Wayne State University-Physics,treatment,1,4,1
Mississippi State University-Chemistry,treatment,0,0,1
University of Iowa-Chemistry,control,0,0,1
Ohio State University-Chemistry,treatment,0,0,1
California Institute of Technology-Mathematics,control,0,0,1
Indiana University Bloomington-Mathematics,treatment,0,0,1
Rensselaer Polytechnic Institute-Chemistry,treatment,0,0,1
Columbia University-Physics,treatment,0,0,1
University of New Mexico-Mathematics,control,1,1,1
University of Montana-Chemistry,treatment,0,0,1
University of Miami-Chemistry,control,0,0,1
Stanford University-Chemistry,treatment,0,0,1
Iowa State University-Chemistry,control,0,0,1
Massachusetts Institute of Technology-Physics,treatment,0,0,1
University of Colorado Denver-Mathematics,treatment,0,0,1
Virginia Tech-Mechanical Engineering,control,0,0,1
Iowa State University-Computer Science,control,0,0,1
University of South Florida-Mathematics,control,0,0,1
Virginia Tech-Chemistry,treatment,0,0,1
"University of California, Riverside-Physics",control,0,0,1
Emory University-Mathematics,treatment,0,0,1
George Mason University-Mathematics,control,0,0,1
University of Central Florida-Mathematics,treatment,0,0,1
Stanford University-Mathematics,treatment,0,0,1
"University at Albany, SUNY-Mathematics",control,1,2,1
University of Rochester-Physics,control,0,0,1
Northwestern University-Computer Science,control,0,0,1
University of Louisiana at Lafayette-Mathematics,control,0,0,1
University of Massachusetts Amherst-Chemistry,control,0,0,1
Iowa State University-Physics,treatment,1,4,1
George Mason University-Mechanical Engineering,treatment,0,0,1
Rensselaer Polytechnic Institute-Mechanical Engineering,treatment,0,0,1
Brown University-Mathematics,control,0,0,1
University of Denver-Chemistry,control,0,0,1
Harvard University-Chemistry,treatment,1,1,1
University of Memphis-Chemistry,treatment,0,0,1
University of Alabama-Computer Science,control,0,0,1
University of Chicago-Computer Science,treatment,0,0,1
University of New Mexico-Physics,control,0,0,1
Tulane University-Physics,treatment,0,0,1
University of Hawaii at Manoa-Mechanical Engineering,treatment,0,0,1
University of Pennsylvania-Computer Science,treatment,0,0,1
University of Utah-Mathematics,treatment,0,0,1
"University of Maryland, Baltimore County-Physics",control,1,2,1
West Virginia University-Physics,treatment,0,0,1
University of Oregon-Physics,control,0,0,1
University of Utah-Physics,control,0,0,1
University of Illinois Chicago-Computer Science,control,0,0,1
University of Minnesota-Physics,treatment,0,0,1
Purdue University-Chemistry,control,0,0,1
Carnegie Mellon University-Mechanical Engineering,control,1,2,1
Massachusetts Institute of Technology-Computer Science,control,0,0,1
Washington University in St. Louis-Physics,control,0,0,1
Duke University-Chemistry,control,0,0,1
New York University-Computer Science,treatment,0,0,1
"University of California, San Diego-Physics",treatment,0,0,1
University of South Carolina-Chemistry,control,0,0,1
University of Rochester-Mechanical Engineering,treatment,0,0,1
Florida International University-Physics,treatment,0,0,1
University of Denver-Physics,treatment,0,0,1
"University of California, Los Angeles-Computer Science",treatment,0,0,1
University of Miami-Mathematics,treatment,0,0,1
University of Texas at San Antonio-Physics,treatment,0,0,1
Florida State University-Mathematics,treatment,0,0,1
University of Massachusetts Amherst-Computer Science,control,0,0,1
Wayne State University-Chemistry,control,0,0,1
University of Connecticut-Mechanical Engineering,treatment,1,3,1
University of Texas at El Paso-Mathematics,control,0,0,1
