seminar_id,university,discipline,department,condition,total_speakers,speakers_with_demographics,num_urm,num_black,num_hispanic,num_native_american,num_female,num_male,num_white,num_asian,pct_urm,pct_black,pct_hispanic,pct_native_american,pct_female,pct_male,pct_white,pct_asian,has_any_urm,has_any_black,has_any_hispanic,has_any_native_american,has_any_female,has_fall_speakers,has_spring_speakers,fall_total_speakers,fall_speakers_with_demographics,fall_num_urm,fall_num_black,fall_num_hispanic,fall_num_female,fall_pct_urm,fall_pct_black,fall_pct_hispanic,fall_pct_female,spring_total_speakers,spring_speakers_with_demographics,spring_num_urm,spring_num_black,spring_num_hispanic,spring_num_female,spring_pct_urm,spring_pct_black,spring_pct_hispanic,spring_pct_female,num_speakers_with_phd_year,pct_speakers_with_phd_year,mean_years_from_phd,median_years_from_phd,min_years_from_phd,max_years_from_phd,num_current_students,pct_current_students,treatment,department_std,bin_category,batch_number,total_faculty,urm_faculty,women_faculty,frac_urm_faculty,frac_women_faculty,dept_ranking,general_ranking,missing_dept_rank,num_recipients,total_peer_departments,total_urm_peer_faculty,bin_7_11,bin_1_3,bin_17_26,bin_3_5,bin_5_7,bin_0_1,batch_1,batch_2,batch_3,batch_4,batch_5,batch_6,batch_7,batch_8,batch_9,disc_mathematics,disc_physics,disc_computer_science,disc_mechanical_engineering
76144c-9a9c83-5b,University at Buffalo,Mathematics,University at Buffalo-Mathematics,control,9,9,1,0,1,0,1,8,5,3,11.11111111111111,0.0,11.11111111111111,0.0,11.11111111111111,88.88888888888889,55.55555555555556,33.33333333333333,1,0,1,0,1,1,1,2,2,0,0,0,0,0.0,0.0,0.0,0.0,7,7,1,0,1,1,14.285714285714285,0.0,14.285714285714285,14.285714285714285,8,88.88888888888889,6.714285714285714,5.0,1.0,15.0,1,12.5,0,University at Buffalo-Mathematics,"(3,5]",1.0,29,0,6,0.0,0.20689655172413793,102.0,71.0,0,2,40,30,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
764904-c75b74-dc,Oregon State University,Mathematics,Oregon State University-Mathematics,treatment,12,12,0,0,0,0,3,9,10,2,0.0,0.0,0.0,0.0,25.0,75.0,83.33333333333334,16.666666666666664,0,0,0,0,1,1,1,7,7,0,0,0,1,0.0,0.0,0.0,14.285714285714285,5,5,0,0,0,2,0.0,0.0,0.0,40.0,10,83.33333333333334,13.5,15.5,2.0,29.0,0,0.0,1,Oregon State University-Mathematics,"(7,11]",10.0,24,1,9,0.041666666666666664,0.375,94.0,104.0,0,1,40,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
768f54-82fec1-79,Florida State University,Mathematics,Florida State University-Mathematics,treatment,3,3,1,1,0,0,1,2,2,0,33.33333333333333,33.33333333333333,0.0,0.0,33.33333333333333,66.66666666666666,66.66666666666666,0.0,1,1,0,0,1,1,0,3,3,1,1,0,1,33.33333333333333,33.33333333333333,0.0,33.33333333333333,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,66.66666666666666,6.0,6.0,6.0,6.0,1,50.0,1,Florida State University-Mathematics,"(3,5]",10.0,41,0,5,0.0,0.12195121951219512,74.0,52.0,0,6,40,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
76c2ae-45b773-04,University of North Carolina at Chapel Hill,Computer Science,University of North Carolina at Chapel Hill-Computer Science,control,2,2,0,0,0,0,0,2,2,0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0,0,0,0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,2,100.0,35.5,35.5,29.0,42.0,0,0.0,0,University of North Carolina at Chapel Hill-Computer Science,"[0,1]",7.0,38,0,7,0.0,0.18421052631578946,35.0,23.0,0,2,40,41,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
76d736-14063c-1c,Colorado State University,Chemistry,Colorado State University-Chemistry,treatment,12,12,3,1,2,0,1,11,6,3,25.0,8.333333333333332,16.666666666666664,0.0,8.333333333333332,91.66666666666666,50.0,25.0,1,1,1,0,1,1,1,7,7,3,1,2,0,42.857142857142854,14.285714285714285,28.57142857142857,0.0,5,5,0,0,0,1,0.0,0.0,0.0,20.0,8,66.66666666666666,16.5,13.5,9.0,32.0,2,25.0,1,Colorado State University-Chemistry,"(3,5]",6.0,31,1,12,0.03225806451612903,0.3870967741935484,49.0,108.0,0,2,40,31,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
76f343-20c96a-47,Yale University,Physics,Yale University-Physics,treatment,4,4,0,0,0,0,1,3,2,2,0.0,0.0,0.0,0.0,25.0,75.0,50.0,50.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,4,0,0,0,1,0.0,0.0,0.0,25.0,4,100.0,16.333333333333332,12.0,5.0,32.0,1,25.0,1,Yale University-Physics,"(1,3]",5.0,37,3,8,0.08108108108108109,0.21621621621621623,12.0,5.0,0,1,40,49,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
777966-2bc88d-a8,University of Florida,Mechanical Engineering,University of Florida-Mechanical Engineering,treatment,3,3,0,0,0,0,1,2,2,1,0.0,0.0,0.0,0.0,33.33333333333333,66.66666666666666,66.66666666666666,33.33333333333333,0,0,0,0,1,1,0,3,3,0,0,0,1,0.0,0.0,0.0,33.33333333333333,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,66.66666666666666,17.5,17.5,12.0,23.0,0,0.0,1,University of Florida-Mechanical Engineering,"[0,1]",5.0,46,2,10,0.043478260869565216,0.21739130434782608,34.0,30.0,0,2,40,43,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
77a14b-0c8498-0d,Michigan State University,Mathematics,Michigan State University-Mathematics,control,20,20,1,0,1,0,2,18,14,5,5.0,0.0,5.0,0.0,10.0,90.0,70.0,25.0,1,0,1,0,1,1,1,11,11,0,0,0,0,0.0,0.0,0.0,0.0,9,9,1,0,1,2,11.11111111111111,0.0,11.11111111111111,22.22222222222222,19,95.0,7.833333333333333,6.0,1.0,16.0,1,5.263157894736842,0,Michigan State University-Mathematics,"(11,17]",4.0,56,0,12,0.0,0.21428571428571427,50.0,58.0,0,2,40,35,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
77b599-a812cf-88,"University of California, Berkeley",Chemistry,"University of California, Berkeley-Chemistry",treatment,5,5,1,0,1,0,0,5,2,2,20.0,0.0,20.0,0.0,0.0,100.0,40.0,40.0,1,0,1,0,0,1,1,1,1,0,0,0,0,0.0,0.0,0.0,0.0,4,4,1,0,1,0,25.0,0.0,25.0,0.0,5,100.0,18.0,11.0,9.0,38.0,0,0.0,1,"University of California, Berkeley-Chemistry","(11,17]",3.0,52,3,14,0.057692307692307696,0.2692307692307692,3.0,15.0,0,2,40,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
77c0cf-9497b7-50,Vanderbilt University,Mathematics,Vanderbilt University-Mathematics,control,17,17,0,0,0,0,0,17,17,0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0,0,0,0,0,1,1,11,11,0,0,0,0,0.0,0.0,0.0,0.0,6,6,0,0,0,0,0.0,0.0,0.0,0.0,16,94.11764705882352,18.8125,16.0,3.0,39.0,0,0.0,0,Vanderbilt University-Mathematics,"(5,7]",7.0,23,0,3,0.0,0.13043478260869565,48.0,19.0,0,6,40,39,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
78448d-d4e025-b3,"University of California, Davis",Mathematics,"University of California, Davis-Mathematics",control,26,26,0,0,0,0,1,25,18,8,0.0,0.0,0.0,0.0,3.8461538461538463,96.15384615384616,69.23076923076923,30.76923076923077,0,0,0,0,1,1,1,10,10,0,0,0,1,0.0,0.0,0.0,10.0,16,16,0,0,0,0,0.0,0.0,0.0,0.0,25,96.15384615384616,17.130434782608695,10.0,2.0,48.0,2,8.0,0,"University of California, Davis-Mathematics","(11,17]",8.0,51,3,11,0.058823529411764705,0.21568627450980393,33.0,28.0,0,11,40,36,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
785b34-5ac112-34,Temple University,Mathematics,Temple University-Mathematics,control,18,18,0,0,0,0,4,14,11,7,0.0,0.0,0.0,0.0,22.22222222222222,77.77777777777779,61.111111111111114,38.88888888888889,0,0,0,0,1,1,1,13,13,0,0,0,2,0.0,0.0,0.0,15.384615384615385,5,5,0,0,0,2,0.0,0.0,0.0,40.0,17,94.44444444444444,15.222222222222221,19.0,1.0,20.0,8,47.05882352941176,0,Temple University-Mathematics,"(5,7]",6.0,20,1,4,0.05,0.2,83.0,78.0,0,7,40,27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0
78696b-885c69-ec,Rice University,Computer Science,Rice University-Computer Science,control,6,6,2,0,2,0,1,5,2,2,33.33333333333333,0.0,33.33333333333333,0.0,16.666666666666664,83.33333333333334,33.33333333333333,33.33333333333333,1,0,1,0,1,1,1,5,5,2,0,2,0,40.0,0.0,40.0,0.0,1,1,0,0,0,1,0.0,0.0,0.0,100.0,6,100.0,26.166666666666668,22.0,2.0,58.0,0,0.0,0,Rice University-Computer Science,"(1,3]",2.0,30,2,5,0.06666666666666667,0.16666666666666666,32.0,17.0,0,2,40,41,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
78b76c-d5812c-c3,Wayne State University,Mathematics,Wayne State University-Mathematics,control,11,11,1,0,1,0,3,8,6,4,9.090909090909092,0.0,9.090909090909092,0.0,27.27272727272727,72.72727272727273,54.54545454545454,36.36363636363637,1,0,1,0,1,1,1,2,2,0,0,0,1,0.0,0.0,0.0,50.0,9,9,1,0,1,2,11.11111111111111,0.0,11.11111111111111,22.22222222222222,10,90.9090909090909,17.7,15.5,3.0,41.0,0,0.0,0,Wayne State University-Mathematics,"(7,11]",6.0,25,0,3,0.0,0.12,113.0,123.0,0,9,40,21,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
